geneid	txid	sym	strand	utr5.len	cds.len	utr3.len	Tx.len
ENSG00000023516	ENST00000025301	AKAP11	+	175	5706	4039	9920
ENSG00000079112	ENST00000027335	CDH17	-	125	2499	1069	3693
ENSG00000027847	ENST00000029410	B4GALT7	+	111	984	652	1747
ENSG00000031003	ENST00000033079	FAM13B	-	452	2748	2265	5465
ENSG00000033100	ENST00000035307	CHPF2	+	1513	2319	146	3978
ENSG00000033122	ENST00000035383	LRRC7	+	30	4614	356	5000
ENSG00000034713	ENST00000037243	GABARAPL2	+	136	354	512	1002
ENSG00000034971	ENST00000037502	MYOC	-	72	1515	508	2095
ENSG00000035141	ENST00000037869	FAM136A	-	79	417	1314	1810
ENSG00000035681	ENST00000038176	NSMAF	-	213	2754	602	3569
ENSG00000036473	ENST00000039007	OTC	+	152	1065	368	1585
ENSG00000037965	ENST00000040584	HOXC8	+	179	729	981	1889
ENSG00000037757	ENST00000040663	MRI1	+	40	1110	585	1735
ENSG00000038219	ENST00000040738	BOD1L1	-	136	9156	1273	10565
ENSG00000039523	ENST00000042381	FAM65A	+	68	3660	323	4051
ENSG00000040608	ENST00000043402	RTN4R	-	439	1422	296	2157
ENSG00000041357	ENST00000044462	PSMA4	+	150	786	3475	4411
ENSG00000042813	ENST00000046087	ZPBP	-	70	1056	87	1213
ENSG00000040531	ENST00000046640	CTNS	+	593	1104	1169	2866
ENSG00000043462	ENST00000046794	LCP2	-	616	1602	2460	4678
ENSG00000011465	ENST00000052754	DCN	-	502	1080	5574	7156
ENSG00000048462	ENST00000053243	TNFRSF17	+	218	555	221	994
ENSG00000030582	ENST00000053867	GRN	+	256	1782	304	2342
ENSG00000049245	ENST00000054666	VAMP3	+	117	301	1787	2205
ENSG00000049449	ENST00000054950	RCN1	+	293	996	1283	2572
ENSG00000049541	ENST00000055077	RFC2	-	61	1065	569	1695
ENSG00000050030	ENST00000055682	KIAA2022	-	612	4551	6556	11719
ENSG00000050327	ENST00000056217	ARHGEF5	+	174	4794	576	5544
ENSG00000050344	ENST00000056233	NFE2L3	+	259	2085	1342	3686
ENSG00000050730	ENST00000057513	TNIP3	-	215	978	1223	2416
ENSG00000052723	ENST00000060969	SIKE1	-	70	624	1496	2190
ENSG00000038295	ENST00000061240	TLL1	+	647	3042	3019	6708
ENSG00000053438	ENST00000062104	NNAT	+	117	246	934	1297
ENSG00000054803	ENST00000064571	CBLN4	-	1301	606	1117	3024
ENSG00000013297	ENST00000064724	CLDN11	+	202	624	1343	2169
ENSG00000054967	ENST00000064780	RELT	+	261	1293	1981	3535
ENSG00000004897	ENST00000066544	CDC27	-	94	2475	3232	5801
ENSG00000058799	ENST00000072644	YIPF1	-	371	921	559	1851
ENSG00000133597	ENST00000072869	ADCK2	+	178	1881	318	2377
ENSG00000059804	ENST00000075120	SLC2A3	-	241	1491	2183	3915
ENSG00000060140	ENST00000075503	STYK1	-	521	1269	1205	2995
ENSG00000088256	ENST00000078429	GNA11	+	242	1080	2825	4147
ENSG00000060566	ENST00000078445	CREB3L3	+	147	1386	1085	2618
ENSG00000061794	ENST00000081029	MRPS35	+	71	972	845	1888
ENSG00000062725	ENST00000083182	APPBP2	-	288	1758	4432	6478
ENSG00000063180	ENST00000084798	CA11	-	680	987	177	1844
ENSG00000012124	ENST00000085219	CD22	+	66	2544	658	3268
ENSG00000067646	ENST00000155093	ZFY	+	321	2406	2512	5239
ENSG00000069998	ENST00000155674	CECR5	-	43	1182	510	1735
ENSG00000053918	ENST00000155840	KCNQ1	+	108	2031	1106	3245
ENSG00000071575	ENST00000155926	TRIB2	+	1419	1032	1940	4391
ENSG00000068308	ENST00000156084	OTUD5	-	61	1716	963	2740
ENSG00000068394	ENST00000156109	GPKOW	-	79	1431	232	1742
ENSG00000021776	ENST00000156471	AQR	-	226	4458	5010	9694
ENSG00000070526	ENST00000156626	ST6GALNAC1	-	200	1803	567	2570
ENSG00000071282	ENST00000157600	LMCD1	+	232	1098	7075	8405
ENSG00000013275	ENST00000157812	PSMC4	+	198	1257	136	1591
ENSG00000073598	ENST00000158009	FNDC8	+	115	975	298	1388
ENSG00000072818	ENST00000158762	ACAP1	+	206	2223	83	2512
ENSG00000072849	ENST00000158771	DERL2	-	56	720	3433	4209
ENSG00000074771	ENST00000159060	NOX3	-	103	1707	232	2042
ENSG00000074855	ENST00000159087	ANO8	-	159	3699	294	4152
ENSG00000127663	ENST00000159111	KDM4B	+	218	3291	2084	5593
ENSG00000076662	ENST00000160262	ICAM3	-	209	1644	81	1934
ENSG00000076826	ENST00000160298	CAMSAP3	+	101	3750	38	3889
ENSG00000077063	ENST00000160373	CTTNBP2	-	92	4992	886	5970
ENSG00000077080	ENST00000160382	ACTL6B	-	107	1281	149	1537
ENSG00000079616	ENST00000160827	KIF22	+	40	1998	75	2113
ENSG00000005001	ENST00000161006	PRSS22	-	66	954	366	1386
ENSG00000079385	ENST00000161559	CEACAM1	-	135	1581	1803	3519
ENSG00000047188	ENST00000161863	YTHDC2	+	213	4293	1810	6316
ENSG00000064545	ENST00000162044	TMEM161A	-	65	1440	315	1820
ENSG00000050820	ENST00000162330	BCAR1	-	127	2613	481	3221
ENSG00000065970	ENST00000162391	FOXJ2	+	1145	1725	2653	5523
ENSG00000067182	ENST00000162749	TNFRSF1A	-	300	1368	555	2223
ENSG00000066455	ENST00000163416	GOLGA5	+	256	2196	517	2969
ENSG00000008300	ENST00000164024	CELSR3	-	281	9939	1736	11956
ENSG00000068971	ENST00000164133	PPP2R5B	+	622	1494	629	2745
ENSG00000068976	ENST00000164139	PYGM	-	399	2529	270	3198
ENSG00000069399	ENST00000164227	BCL3	+	244	1365	429	2038
ENSG00000069424	ENST00000164247	KCNAB2	+	564	1104	2605	4273
ENSG00000069943	ENST00000164305	PIGB	+	291	1665	216	2172
ENSG00000067840	ENST00000164640	PDZD4	-	192	2310	1187	3689
ENSG00000068615	ENST00000165698	REEP1	-	144	606	3107	3857
ENSG00000070404	ENST00000166139	FSTL3	+	59	792	1691	2542
ENSG00000070886	ENST00000166244	EPHA8	+	72	3018	1853	4943
ENSG00000071539	ENST00000166345	TRIP13	+	356	1299	1017	2672
ENSG00000071246	ENST00000167106	VASH1	+	633	1098	3997	5728
ENSG00000186847	ENST00000167586	KRT14	-	87	1419	156	1662
ENSG00000171431	ENST00000167588	KRT20	-	42	1275	420	1737
ENSG00000072080	ENST00000168148	SPP2	+	88	636	300	1024
ENSG00000072506	ENST00000168216	HSD17B10	-	28	786	146	960
ENSG00000075388	ENST00000168712	FGF4	-	319	621	2293	3233
ENSG00000077009	ENST00000168977	NMRK2	+	290	693	143	1126
ENSG00000073849	ENST00000169298	ST6GAL1	+	674	1221	2750	4645
ENSG00000075336	ENST00000169551	TIMM21	+	298	747	2050	3095
ENSG00000078898	ENST00000170150	BPIFB2	+	195	1377	326	1898
ENSG00000079313	ENST00000170168	REXO1	-	105	3666	820	4591
ENSG00000075975	ENST00000170447	MKRN2	+	137	1251	1460	2848
ENSG00000076650	ENST00000170564	GPATCH1	+	314	2796	382	3492
ENSG00000079999	ENST00000171111	KEAP1	-	548	1875	532	2955
ENSG00000078589	ENST00000171757	P2RY10	+	280	1020	414	1714
ENSG00000079308	ENST00000171887	TNS1	-	453	5208	4670	10331
ENSG00000064300	ENST00000172229	NGFR	+	125	1284	2008	3417
ENSG00000065320	ENST00000173229	NTN1	+	107	1815	4032	5954
ENSG00000067445	ENST00000173898	TRO	+	112	4296	239	4647
ENSG00000070444	ENST00000174618	MNT	-	406	1749	2841	4996
ENSG00000068697	ENST00000175091	LAPTM4A	-	508	702	555	1765
ENSG00000069206	ENST00000175238	ADAM7	+	83	2267	1017	3367
ENSG00000070669	ENST00000175506	ASNS	-	529	1686	141	2356
ENSG00000072135	ENST00000175756	PTPN18	+	101	1383	2185	3669
ENSG00000072210	ENST00000176643	ALDH3A2	+	446	1458	2024	3928
ENSG00000072786	ENST00000176763	STK10	-	344	2907	2809	6060
ENSG00000073861	ENST00000177694	TBX21	+	211	1608	753	2572
ENSG00000074410	ENST00000178638	CA12	-	441	1065	4907	6413
ENSG00000137764	ENST00000178640	MAP2K5	+	627	1347	373	2347
ENSG00000078237	ENST00000179259	TIGAR	+	67	813	1902	2782
ENSG00000078579	ENST00000180166	FGF20	-	149	636	903	1688
ENSG00000003987	ENST00000180173	MTMR7	-	35	1983	1832	3850
ENSG00000065883	ENST00000181839	CDK13	+	605	4539	2154	7298
ENSG00000064201	ENST00000182290	TSPAN32	+	137	963	218	1318
ENSG00000066405	ENST00000183605	CLDN18	+	226	786	2508	3520
ENSG00000065371	ENST00000184183	ROPN1	-	341	639	634	1614
ENSG00000065518	ENST00000184266	NDUFB4	+	51	390	230	671
ENSG00000068912	ENST00000185150	ERLEC1	+	131	1452	850	2433
ENSG00000075568	ENST00000186436	TMEM131	-	229	5652	759	6640
ENSG00000172995	ENST00000187397	ARPP21	+	456	2439	538	3433
ENSG00000072954	ENST00000187762	TMEM38A	+	91	900	1658	2649
ENSG00000159885	ENST00000187879	ZNF222	+	162	1356	80	1598
ENSG00000075089	ENST00000188312	ACTR6	+	765	1191	508	2464
ENSG00000078098	ENST00000188790	FAP	-	208	2283	289	2780
ENSG00000064218	ENST00000190165	DMRT3	+	38	1419	726	2183
ENSG00000079156	ENST00000190611	OSBPL6	+	376	2805	7332	10513
ENSG00000154252	ENST00000192314	GAL3ST2	+	131	1197	42	1370
ENSG00000065060	ENST00000192788	UHRF1BP1	+	171	4323	5076	9570
ENSG00000081087	ENST00000193322	OSTM1	-	86	1005	3376	4467
ENSG00000081148	ENST00000193391	IMPG2	-	188	3726	4423	8337
ENSG00000072110	ENST00000193403	ACTN1	-	384	2679	716	3779
ENSG00000081800	ENST00000194130	SLC13A1	-	40	1788	1987	3815
ENSG00000081818	ENST00000194152	PCDHB4	+	200	2388	1237	3825
ENSG00000112852	ENST00000194155	PCDHB2	+	212	2397	1516	4125
ENSG00000081870	ENST00000194214	HSPB11	-	390	435	90	915
ENSG00000082146	ENST00000194530	STRADB	+	365	1257	671	2293
ENSG00000083444	ENST00000196061	PLOD1	+	27	2184	729	2940
ENSG00000083720	ENST00000196371	OXCT1	-	161	1563	1664	3388
ENSG00000083817	ENST00000196489	ZNF416	-	223	1785	553	2561
ENSG00000084444	ENST00000197268	FAM234B	+	120	1869	2819	4808
ENSG00000085514	ENST00000198536	PILRA	+	212	912	192	1316
ENSG00000085721	ENST00000198767	RRN3	-	84	1956	1722	3762
ENSG00000166391	ENST00000198801	MOGAT2	+	70	1005	329	1404
ENSG00000167580	ENST00000199280	AQP2	+	85	816	3273	4174
ENSG00000086189	ENST00000199320	DIMT1	-	161	942	1756	2859
ENSG00000086232	ENST00000199389	EIF2AK1	-	147	1893	2429	4469
ENSG00000086288	ENST00000199447	NME8	+	372	1767	173	2312
ENSG00000086289	ENST00000199448	EPDR1	+	379	675	1545	2599
ENSG00000086504	ENST00000199706	MRPL28	-	36	771	291	1098
ENSG00000086506	ENST00000199708	HBQ1	+	34	429	73	536
ENSG00000086548	ENST00000199764	CEACAM6	+	218	1034	1447	2699
ENSG00000086589	ENST00000199814	RBM22	-	122	1263	957	2342
ENSG00000086696	ENST00000199936	HSD17B2	+	193	1164	98	1455
ENSG00000086827	ENST00000200135	ZW10	-	145	2340	507	2992
ENSG00000087074	ENST00000200453	PPP1R15A	+	269	2025	84	2378
ENSG00000087077	ENST00000200457	TRIP6	+	360	1431	151	1942
ENSG00000073670	ENST00000200557	ADAM11	+	169	2310	2092	4571
ENSG00000197208	ENST00000200652	SLC22A4	+	174	1656	371	2201
ENSG00000087237	ENST00000200676	CETP	+	130	1482	179	1791
ENSG00000087250	ENST00000200691	MT3	+	223	207	139	569
ENSG00000087510	ENST00000201031	TFAP2C	+	243	1353	1270	2866
ENSG00000131037	ENST00000201647	EPS8L1	+	56	2172	308	2536
ENSG00000197183	ENST00000201961	NOL4L	-	220	528	223	971
ENSG00000088320	ENST00000201979	REM1	+	293	897	475	1665
ENSG00000088356	ENST00000202017	PDRG1	-	131	402	1465	1998
ENSG00000088808	ENST00000202556	PPP1R13B	-	283	3273	1402	4958
ENSG00000166948	ENST00000202625	TGM6	+	61	2121	110	2292
ENSG00000089048	ENST00000202816	ESF1	-	108	2556	552	3216
ENSG00000089163	ENST00000202967	SIRT4	+	59	945	213	1217
ENSG00000089195	ENST00000203001	TRMT6	-	131	1494	702	2327
ENSG00000249115	ENST00000203166	HAUS5	+	25	1902	2356	4283
ENSG00000010256	ENST00000203407	UQCRC1	-	417	1443	125	1985
ENSG00000089639	ENST00000203556	GMIP	-	138	2913	487	3538
ENSG00000089692	ENST00000203629	LAG3	+	333	1578	63	1974
ENSG00000089693	ENST00000203630	MLF2	-	645	747	577	1969
ENSG00000089723	ENST00000203664	OTUB2	+	209	705	3008	3922
ENSG00000090447	ENST00000204517	TFAP4	-	329	1017	869	2215
ENSG00000090470	ENST00000204549	PDCD7	-	55	1458	1338	2851
ENSG00000090487	ENST00000204566	SPG21	-	296	927	599	1822
ENSG00000090539	ENST00000204604	CHRD	+	246	2868	407	3521
ENSG00000090534	ENST00000204615	THPO	-	215	1062	578	1855
ENSG00000090581	ENST00000204679	GNPTG	+	43	918	1022	1983
ENSG00000090615	ENST00000204726	GOLGA3	-	559	4497	4196	9252
ENSG00000090776	ENST00000204961	EFNB1	+	780	1041	1493	3314
ENSG00000090863	ENST00000205061	GLG1	-	20	3612	4629	8261
ENSG00000090971	ENST00000205194	NAT14	+	303	621	612	1536
ENSG00000157426	ENST00000205214	AASDH	-	181	3297	112	3590
ENSG00000091140	ENST00000205402	DLD	+	281	1530	1944	3755
ENSG00000091262	ENST00000205557	ABCC6	-	30	4512	1205	5747
ENSG00000091317	ENST00000205636	CMTM6	-	663	552	2648	3863
ENSG00000091536	ENST00000205890	MYO15A	+	338	10593	932	11863
ENSG00000091583	ENST00000205948	APOH	-	38	1038	100	1176
ENSG00000091640	ENST00000206020	SPAG7	-	68	684	306	1058
ENSG00000091986	ENST00000206423	CCDC80	-	954	2853	8623	12430
ENSG00000092010	ENST00000206451	PSME1	+	105	750	151	1006
ENSG00000092036	ENST00000206474	HAUS4	-	253	1092	297	1642
ENSG00000092067	ENST00000206513	CEBPE	-	525	846	183	1554
ENSG00000092094	ENST00000206542	OSGEP	-	422	1008	572	2002
ENSG00000092140	ENST00000206595	G2E3	+	154	2121	3529	5804
ENSG00000092295	ENST00000206765	TGM1	-	124	2454	199	2777
ENSG00000092607	ENST00000207157	TBX15	-	315	1491	1686	3492
ENSG00000092850	ENST00000207457	TEKT2	+	127	1293	89	1509
ENSG00000092929	ENST00000207549	UNC13D	-	380	3273	740	4393
ENSG00000093217	ENST00000207870	XYLB	+	90	1611	1963	3664
ENSG00000094661	ENST00000209540	OR1I1	+	86	1068	88	1242
ENSG00000187758	ENST00000209668	ADH1A	-	114	1128	257	1499
ENSG00000108244	ENST00000209718	KRT23	-	425	1269	293	1987
ENSG00000094804	ENST00000209728	CDC6	+	471	1683	2656	4810
ENSG00000094914	ENST00000209873	AAAS	-	166	1641	33	1840
ENSG00000094916	ENST00000209875	CBX5	-	137	576	10815	11528
ENSG00000076321	ENST00000209884	KLHL20	+	136	1830	1455	3421
ENSG00000094963	ENST00000209929	FMO2	+	158	1608	2085	3851
ENSG00000095059	ENST00000210060	DHPS	-	136	1110	117	1363
ENSG00000167964	ENST00000210187	RAB26	+	160	771	744	1675
ENSG00000095261	ENST00000210313	PSMD5	-	75	1515	1853	3443
ENSG00000095380	ENST00000210444	NANS	+	70	1080	20	1170
ENSG00000095539	ENST00000210633	SEMA4G	+	78	2532	1484	4094
ENSG00000095917	ENST00000211076	TPSD1	+	148	729	622	1499
ENSG00000174156	ENST00000211122	GSTA3	-	66	669	167	902
ENSG00000156711	ENST00000211287	MAPK13	+	262	1098	692	2052
ENSG00000096092	ENST00000211314	TMEM14A	+	153	300	539	992
ENSG00000204463	ENST00000211379	BAG6	-	295	3381	103	3779
ENSG00000204314	ENST00000211413	PRRT1	-	125	921	863	1909
ENSG00000096654	ENST00000211936	ZNF184	-	285	2256	560	3101
ENSG00000035403	ENST00000211998	VCL	+	94	3405	1983	5482
ENSG00000096717	ENST00000212015	SIRT1	+	53	2244	1797	4094
ENSG00000069702	ENST00000212355	TGFBR3	-	515	2556	3394	6465
ENSG00000099203	ENST00000214869	TMED1	-	99	684	557	1340
ENSG00000099326	ENST00000215057	MZF1	-	561	2205	139	2905
ENSG00000099330	ENST00000215061	OCEL1	+	44	795	294	1133
ENSG00000099341	ENST00000215071	PSMD8	+	66	1053	434	1553
ENSG00000099365	ENST00000215095	STX1B	-	232	867	3565	4664
ENSG00000099385	ENST00000215115	BCL7C	-	1016	654	70	1740
ENSG00000099624	ENST00000215375	ATP5D	+	101	507	389	997
ENSG00000099721	ENST00000215479	AMELY	-	68	579	155	802
ENSG00000070388	ENST00000215530	FGF22	+	31	513	767	1311
ENSG00000095932	ENST00000215531	SMIM24	-	79	393	857	1329
ENSG00000099769	ENST00000215539	IGFALS	-	111	1818	187	2116
ENSG00000099795	ENST00000215565	NDUFB7	-	62	414	55	531
ENSG00000099797	ENST00000215567	TECR	+	137	927	107	1171
ENSG00000099800	ENST00000215570	TIMM13	-	361	288	1324	1973
ENSG00000099804	ENST00000215574	CDC34	+	220	711	540	1471
ENSG00000099812	ENST00000215582	MISP	+	103	2040	728	2871
ENSG00000099860	ENST00000215631	GADD45B	+	232	483	658	1373
ENSG00000099866	ENST00000215637	MADCAM1	+	46	1149	377	1572
ENSG00000188130	ENST00000215659	MAPK12	-	316	1104	498	1918
ENSG00000099937	ENST00000215727	SERPIND1	+	283	1500	654	2437
ENSG00000099940	ENST00000215730	SNAP29	+	128	777	3382	4287
ENSG00000099949	ENST00000215739	LZTR1	+	359	2523	1690	4572
ENSG00000184436	ENST00000215742	THAP7	-	175	930	108	1213
ENSG00000099953	ENST00000215743	MMP11	+	52	1467	772	2291
ENSG00000240972	ENST00000215754	MIF	+	471	348	120	939
ENSG00000099985	ENST00000215781	OSM	-	41	759	1054	1854
ENSG00000099992	ENST00000215790	TBC1D10A	-	165	1527	385	2077
ENSG00000099995	ENST00000215793	SF3A1	-	155	2382	2606	5143
ENSG00000184979	ENST00000215794	USP18	+	430	1119	580	2129
ENSG00000100012	ENST00000215812	SEC14L3	-	91	1203	792	2086
ENSG00000100028	ENST00000215829	SNRPD3	+	587	381	795	1763
ENSG00000100030	ENST00000215832	MAPK1	-	189	1083	9750	11022
ENSG00000185339	ENST00000215838	TCN2	+	494	1284	757	2535
ENSG00000100053	ENST00000215855	CRYBB3	+	80	636	151	867
ENSG00000100075	ENST00000215882	SLC25A1	-	157	936	555	1648
ENSG00000100078	ENST00000215885	PLA2G3	-	253	1530	914	2697
ENSG00000241360	ENST00000215904	PDXP	+	56	891	1063	2010
ENSG00000128203	ENST00000215906	ASPHD2	+	438	1110	1809	3357
ENSG00000100097	ENST00000215909	LGALS1	+	95	408	57	560
ENSG00000100100	ENST00000215912	PIK3IP1	-	184	792	1491	2467
ENSG00000100122	ENST00000215939	CRYBB1	-	131	759	212	1102
ENSG00000100124	ENST00000215941	ANKRD54	-	193	903	1088	2184
ENSG00000100139	ENST00000215957	MICALL1	+	126	2592	1992	4710
ENSG00000100162	ENST00000215980	CENPM	-	88	543	335	966
ENSG00000100196	ENST00000216014	KDELR3	+	172	645	911	1728
ENSG00000100206	ENST00000216024	DMC1	-	277	1023	1071	2371
ENSG00000100209	ENST00000216027	HSCB	+	65	708	341	1114
ENSG00000100216	ENST00000216034	TOMM22	+	31	429	1580	2040
ENSG00000100218	ENST00000216036	RSPH14	-	197	1047	47	1291
ENSG00000100219	ENST00000216037	XBP1	-	73	786	991	1850
ENSG00000100220	ENST00000216038	RTCB	-	99	1518	410	2027
ENSG00000100221	ENST00000216039	JOSD1	-	680	609	2359	3648
ENSG00000100226	ENST00000216044	GTPBP1	+	233	2010	2883	5126
ENSG00000100246	ENST00000216068	DNAL4	-	245	318	941	1504
ENSG00000100249	ENST00000216071	C22orf31	-	52	873	70	995
ENSG00000100253	ENST00000216075	MIOX	+	74	858	198	1130
ENSG00000100263	ENST00000216085	RHBDD3	-	425	1161	208	1794
ENSG00000243811	ENST00000216099	APOBEC3D	+	407	1161	960	2528
ENSG00000100276	ENST00000216101	RASL10A	-	510	612	368	1490
ENSG00000100281	ENST00000216106	HMGXB4	+	128	1806	2113	4047
ENSG00000100290	ENST00000216115	BIK	+	63	483	407	953
ENSG00000100292	ENST00000216117	HMOX1	+	339	867	616	1822
ENSG00000184117	ENST00000216121	NIPSNAP1	-	255	855	1127	2237
ENSG00000100297	ENST00000216122	MCM5	+	154	2205	1175	3534
ENSG00000100299	ENST00000216124	ARSA	-	393	1530	127	2050
ENSG00000100302	ENST00000216127	RASD2	+	642	801	1969	3412
ENSG00000100304	ENST00000216129	TTLL12	-	64	1935	1386	3385
ENSG00000100307	ENST00000216133	CBX7	-	206	756	3119	4081
ENSG00000100312	ENST00000216139	ACR	+	40	1266	127	1433
ENSG00000100314	ENST00000216144	CABP7	+	341	648	2270	3259
ENSG00000100316	ENST00000216146	RPL3	-	174	1212	56	1442
ENSG00000100324	ENST00000216160	TAB1	+	62	1515	1660	3237
ENSG00000100341	ENST00000216177	PNPLA5	-	133	1290	1116	2539
ENSG00000100344	ENST00000216180	PNPLA3	+	173	1446	1186	2805
ENSG00000100345	ENST00000216181	MYH9	-	231	5883	1387	7501
ENSG00000100348	ENST00000216185	TXN2	-	467	501	768	1736
ENSG00000100353	ENST00000216190	EIF3D	-	371	1647	137	2155
ENSG00000239900	ENST00000216194	ADSL	+	56	1455	482	1993
ENSG00000100362	ENST00000216200	PVALB	-	56	333	206	595
ENSG00000100373	ENST00000216211	UPK3A	+	32	864	155	1051
ENSG00000100376	ENST00000216214	FAM118A	+	834	1074	1550	3458
ENSG00000100380	ENST00000216218	ST13	-	482	1110	2003	3595
ENSG00000100385	ENST00000216223	IL2RB	-	199	1656	2258	4113
ENSG00000100387	ENST00000216225	RBX1	+	40	327	821	1188
ENSG00000100395	ENST00000216237	L3MBTL2	+	158	2118	1020	3296
ENSG00000100399	ENST00000216241	CHADL	-	53	2289	191	2533
ENSG00000100410	ENST00000216252	PHF5A	-	72	333	681	1086
ENSG00000100412	ENST00000216254	ACO2	+	22	2343	376	2741
ENSG00000100417	ENST00000216259	PMM1	-	85	789	424	1298
ENSG00000100422	ENST00000216264	CERK	-	113	1614	2723	4450
ENSG00000100425	ENST00000216267	BRD1	-	487	3177	950	4614
ENSG00000100426	ENST00000216268	ZBED4	+	477	3516	2900	6893
ENSG00000100429	ENST00000216271	HDAC10	-	353	2010	324	2687
ENSG00000129465	ENST00000216274	RIPK3	-	219	1557	154	1930
ENSG00000090060	ENST00000216277	PAPOLA	+	220	2238	2061	4519
ENSG00000080824	ENST00000216281	HSP90AA1	-	206	2199	974	3379
ENSG00000023608	ENST00000216294	SNAPC1	+	104	1107	1445	2656
ENSG00000092201	ENST00000216297	SUPT16H	-	339	3144	1201	4684
ENSG00000100442	ENST00000216330	FKBP3	-	411	675	598	1684
ENSG00000100448	ENST00000216336	CTSG	-	37	768	81	886
ENSG00000100450	ENST00000216338	GZMH	-	45	741	123	909
ENSG00000100453	ENST00000216341	GZMB	-	107	744	117	968
ENSG00000100479	ENST00000216367	POLE2	-	100	1584	92	1776
ENSG00000100485	ENST00000216373	SOS2	-	275	3999	1224	5498
