ENS_ID	Sym	scr.TNF.vs.veh.logR	RELA.TNF.vs.veh.logR	RELA.TNF.rep1vs3.logR	RELA.TNF.rep1vs2.logR	RELA.TNF.rep2vs3.logR
ENSG00000101986	ABCD1	0.056	0.132	-0.152	0.348	-0.5
ENSG00000173208	ABCD2	-0.164	-0.082	0.089	-0.222	0.311
ENSG00000117528	ABCD3	-0.225	-0.13	-0.141	-0.262	0.121
ENSG00000164163	ABCE1	-0.112	-0.017	-0.107	-0.473	0.367
ENSG00000204574	ABCF1	0.002	0.027	0.13	0.433	-0.303
ENSG00000033050	ABCF2	-0.002	-0.155	-0.137	-0.122	-0.015
ENSG00000161204	ABCF3	-0.001	0.095	-0.116	0.045	-0.161
ENSG00000144827	ABHD10	-0.285	-0.203	-0.034	-0.345	0.311
ENSG00000106077	ABHD11	0.241	-0.054	-0.374	-0.022	-0.352
ENSG00000225969	ABHD11-AS1	0.487	-0.769	-1.101	-1.467	0.365
ENSG00000100997	ABHD12	0.024	-0.008	-0.251	-0.103	-0.148
ENSG00000139826	ABHD13	-0.097	-0.177	-0.112	-0.124	0.012
ENSG00000248487	ABHD14A	-0.024	-0.209	-0.942	-0.478	-0.464
ENSG00000114779	ABHD14B	-0.135	-0.048	-0.262	0.147	-0.409
ENSG00000168792	ABHD15	-0.132	0.001	0.054	0.24	-0.186
ENSG00000129968	ABHD17A	0.296	-0.427	-0.226	-0.947	0.722
ENSG00000107362	ABHD17B	-0.491	-0.075	-0.407	-0.297	-0.11
ENSG00000140526	ABHD2	-0.017	0.208	0.272	0.433	-0.161
ENSG00000158201	ABHD3	-0.167	-0.126	0.009	-0.348	0.357
ENSG00000100439	ABHD4	-0.181	0.183	0.211	0.777	-0.566
ENSG00000011198	ABHD5	-0.177	-0.171	0.031	0.025	0.006
ENSG00000163686	ABHD6	0.096	-0.278	-0.48	-0.11	-0.37
ENSG00000127220	ABHD8	0.245	-0.042	-0.249	-0.321	0.071
ENSG00000136754	ABI1	-0.127	-0.189	-0.705	-0.511	-0.193
ENSG00000097007	ABL1	0.117	0.579	0.942	0.981	-0.039
ENSG00000143322	ABL2	0.211	0.88	0.36	0.551	-0.191
ENSG00000173210	ABLIM3	-0.039	0.308	0.407	0.401	0.006
ENSG00000159842	ABR	-0.008	0.229	0.212	0.481	-0.268
ENSG00000146386	ABRACL	-0.314	-0.377	-0.68	-0.549	-0.131
ENSG00000146109	ABT1	0.004	-0.12	-0.551	-0.304	-0.247
ENSG00000060971	ACAA1	0.068	0.582	0.967	0.903	0.064
ENSG00000167315	ACAA2	0.028	0.07	0.245	0.205	0.041
ENSG00000076555	ACACB	-0.048	0.773	1.374	1.432	-0.058
ENSG00000111271	ACAD10	0.133	0.338	0.614	0.697	-0.083
ENSG00000151498	ACAD8	0.109	0.162	-0.069	-0.056	-0.013
ENSG00000177646	ACAD9	0.186	0.016	0.182	0.287	-0.105
ENSG00000117054	ACADM	-0.089	0.227	0.524	-0.153	0.677
ENSG00000122971	ACADS	0.28	-0.11	-0.031	-0.286	0.255
ENSG00000196177	ACADSB	-0.343	0.279	0.792	0.466	0.326
ENSG00000072778	ACADVL	0.219	0.011	0.234	-0.271	0.505
ENSG00000072818	ACAP1	0.086	-0.377	-0.372	0.049	-0.421
ENSG00000114331	ACAP2	-0.2	-0.055	-0.06	-0.519	0.459
ENSG00000131584	ACAP3	0.486	-0.158	-0.06	-0.354	0.293
ENSG00000075239	ACAT1	-0.094	-0.229	-0.19	-0.498	0.308
ENSG00000120437	ACAT2	0.069	-0.134	0.046	0.16	-0.114
ENSG00000182827	ACBD3	-0.197	-0.204	0.107	-0.341	0.448
ENSG00000181513	ACBD4	0.464	-0.135	-0.201	0.139	-0.34
ENSG00000107897	ACBD5	-0.265	-0.121	0.347	-0.01	0.357
ENSG00000230124	ACBD6	0.018	-0.21	-0.583	-0.631	0.048
ENSG00000176244	ACBD7	-0.244	-0.272	-1.317	-0.408	-0.908
ENSG00000177076	ACER2	-0.042	-0.124	-0.343	-0.19	-0.153
ENSG00000078124	ACER3	-0.286	0.115	0.599	0.707	-0.108
ENSG00000087085	ACHE	0.63	0.428	1.112	1.047	0.065
ENSG00000100813	ACIN1	-0.209	0.229	0.583	0.557	0.026
ENSG00000144476	ACKR3	0.006	-0.113	-0.736	0.551	-1.287
ENSG00000129048	ACKR4	-0.163	-0.417	0.246	-0.522	0.768
ENSG00000131473	ACLY	0.008	0.21	1.099	1.063	0.036
ENSG00000122729	ACO1	0.006	0.016	0.202	0.294	-0.091
ENSG00000100412	ACO2	0.117	0.384	0.436	0.738	-0.301
ENSG00000184227	ACOT1	0.308	-0.023	0.1	0.227	-0.127
ENSG00000112304	ACOT13	-0.02	-0.088	-0.022	-0.148	0.126
ENSG00000119673	ACOT2	0.167	-0.276	0.035	-0.715	0.749
ENSG00000177465	ACOT4	-0.073	-0.528	0	0	0
ENSG00000097021	ACOT7	0.184	0.068	0.048	0.798	-0.75
ENSG00000101473	ACOT8	0.052	-0.238	-0.225	-0.041	-0.184
ENSG00000123130	ACOT9	0.085	-0.061	-0.483	-0.586	0.103
ENSG00000161533	ACOX1	-0.138	0.096	0.395	0.25	0.144
ENSG00000168306	ACOX2	-0.139	0.121	0.746	0.607	0.139
ENSG00000087008	ACOX3	-0.202	0.073	0.096	0.388	-0.292
ENSG00000143727	ACP1	-0.072	-0.248	-0.175	-0.318	0.143
ENSG00000134575	ACP2	0.187	0.011	-0.081	0.367	-0.448
ENSG00000167107	ACSF2	0.116	-0.097	-0.396	-0.401	0.006
ENSG00000176715	ACSF3	0.162	-0.059	-0.064	-0.022	-0.042
ENSG00000151726	ACSL1	-0.117	0.035	0.121	-0.152	0.273
ENSG00000123983	ACSL3	-0.06	-0.104	-0.223	-0.28	0.056
ENSG00000068366	ACSL4	0.123	0.302	0.348	0.34	0.008
ENSG00000197142	ACSL5	-0.016	-0.1	-0.21	-0.302	0.092
ENSG00000131069	ACSS2	0.123	0.061	0.624	0.393	0.231
ENSG00000107796	ACTA2	0.212	0.146	-0.791	0.2	-0.991
ENSG00000075624	ACTB	-0.048	0.45	1.014	1.334	-0.32
ENSG00000184009	ACTG1	0.046	0.344	0.315	0.641	-0.326
ENSG00000136518	ACTL6A	-0.05	0.015	-0.378	-0.167	-0.211
ENSG00000072110	ACTN1	0.105	0.514	0.731	1.16	-0.429
ENSG00000130402	ACTN4	0.089	0.516	1.1	1.095	0.005
ENSG00000131966	ACTR10	-0.148	0.033	-0.096	-0.271	0.175
ENSG00000138107	ACTR1A	0.074	-0.005	-0.146	-0.076	-0.07
ENSG00000115073	ACTR1B	0.087	-0.022	0.153	0.136	0.016
ENSG00000138071	ACTR2	-0.266	0.821	1.364	1.526	-0.161
ENSG00000115091	ACTR3	-0.092	-0.12	-0.166	-0.416	0.249
ENSG00000101442	ACTR5	0.077	-0.442	-0.141	-0.185	0.044
ENSG00000075089	ACTR6	-0.117	-0.26	-0.09	-0.548	0.458
ENSG00000113812	ACTR8	0.016	-0.173	-0.075	-0.147	0.071
ENSG00000184378	ACTRT3	-0.378	-0.479	-0.177	-0.367	0.19
ENSG00000115170	ACVR1	-0.449	0.328	0.544	0.733	-0.189
ENSG00000135503	ACVR1B	-0.129	0.284	0.451	1.01	-0.558
ENSG00000123612	ACVR1C	-0.226	-0.135	-0.409	-0.068	-0.341
ENSG00000121989	ACVR2A	-0.212	-0.383	-0.365	-0.257	-0.108
ENSG00000139567	ACVRL1	0.2	-0.12	-0.412	-1.246	0.833
ENSG00000243989	ACY1	0.152	-0.388	-0.077	-0.101	0.025
ENSG00000170634	ACYP2	-0.047	-0.332	-0.212	-0.258	0.047
ENSG00000196839	ADA	0.052	0.247	0.724	0.802	-0.078
ENSG00000168803	ADAL	0.016	-0.115	-0.544	-0.369	-0.175
ENSG00000137845	ADAM10	-0.073	0.278	0.609	0.28	0.329
ENSG00000148848	ADAM12	0.051	0.468	0.538	0.855	-0.317
ENSG00000143537	ADAM15	0.172	-0.088	0.002	0.199	-0.197
ENSG00000151694	ADAM17	0.097	0.186	-0.042	0.144	-0.186
ENSG00000197140	ADAM32	-0.006	-0.185	-0.376	-0.266	-0.111
ENSG00000149451	ADAM33	0.168	-0.013	0.355	-0.659	1.014
ENSG00000168615	ADAM9	-0.118	0.042	0.242	-0.47	0.712
ENSG00000154734	ADAMTS1	-1.001	0.106	0.415	0.064	0.351
ENSG00000151388	ADAMTS12	-0.072	0.315	0.322	0.721	-0.399
ENSG00000166106	ADAMTS15	-0.537	0.145	0.553	0.788	-0.235
ENSG00000087116	ADAMTS2	-0.031	0.733	0.973	1.316	-0.343
ENSG00000158859	ADAMTS4	1.51	1.299	0.142	0.543	-0.4
ENSG00000154736	ADAMTS5	-0.272	0.7	1.656	0.968	0.687
ENSG00000049192	ADAMTS6	-0.007	-0.46	-1.184	-0.741	-0.443
ENSG00000136378	ADAMTS7	0.177	0.465	0.618	0.699	-0.081
ENSG00000163638	ADAMTS9	-0.168	0.402	0.537	0.883	-0.346
ENSG00000143382	ADAMTSL4	0.26	0.956	1.524	1.496	0.028
ENSG00000160710	ADAR	-0.058	0.207	0.45	0.586	-0.137
ENSG00000197381	ADARB1	0.134	0.288	0.099	0.678	-0.579
ENSG00000065457	ADAT1	-0.039	-0.064	-0.024	-0.012	-0.012
ENSG00000063761	ADCK1	0.185	-0.075	0.346	0.573	-0.227
ENSG00000133597	ADCK2	0.147	-0.175	-0.445	-0.386	-0.059
ENSG00000163050	ADCK3	0.167	-0.075	-0.348	-0.246	-0.102
ENSG00000123815	ADCK4	0.152	-0.137	-0.468	-0.066	-0.402
ENSG00000173137	ADCK5	0.27	-0.325	-0.412	-0.19	-0.222
ENSG00000161912	ADCY10P1	0.161	0.435	1.173	0.888	0.285
ENSG00000138031	ADCY3	-0.166	0.425	0.209	0.648	-0.439
ENSG00000174233	ADCY6	0.211	0.579	0.97	1.154	-0.183
ENSG00000162104	ADCY9	-0.088	0.277	0.463	0.55	-0.087
ENSG00000087274	ADD1	-0.031	0.106	0.39	0.393	-0.003
ENSG00000148700	ADD3	-0.168	-0.101	0.142	-0.187	0.329
ENSG00000020181	ADGRA2	0.046	-0.125	-0.077	-0.005	-0.071
ENSG00000152990	ADGRA3	0.007	0.255	0.523	0.802	-0.279
ENSG00000121753	ADGRB2	0.38	0.404	0.366	0.716	-0.35
ENSG00000123146	ADGRE5	-0.043	0.817	0.851	1.268	-0.418
ENSG00000072071	ADGRL1	-0.092	0.808	1.351	1.888	-0.536
ENSG00000117114	ADGRL2	-0.155	0.193	0.398	0.241	0.157
ENSG00000187758	ADH1A	-0.083	-0.354	-0.14	-0.736	0.596
ENSG00000196616	ADH1B	-0.248	-0.269	0.303	-0.477	0.779
ENSG00000197894	ADH5	-0.113	-0.177	0.027	-0.319	0.346
ENSG00000147576	ADHFE1	-0.185	-0.177	0.485	0.65	-0.164
ENSG00000182551	ADI1	-0.042	-0.206	-0.342	-0.343	0.001
ENSG00000181092	ADIPOQ	-0.161	-0.086	0.435	0.153	0.282
ENSG00000226482	ADIPOQ-AS1	-0.193	-0.274	0.524	0.374	0.15
ENSG00000159346	ADIPOR1	-0.169	-0.126	-0.127	0.194	-0.321
ENSG00000006831	ADIPOR2	-0.192	0.571	1.039	1.269	-0.23
ENSG00000272734	ADIRF-AS1	0.237	0.187	-0.383	-0.476	0.093
ENSG00000156110	ADK	-0.165	-0.087	0.634	0.338	0.296
ENSG00000148926	ADM	0.802	0.624	-0.506	-0.703	0.197
ENSG00000101126	ADNP	-0.125	0.725	1.21	1.23	-0.02
ENSG00000101544	ADNP2	-0.138	0.071	0.175	0.26	-0.085
ENSG00000181915	ADO	-0.173	-0.21	-0.229	-0.462	0.232
ENSG00000163485	ADORA1	0.128	0.07	0.2	0.656	-0.455
ENSG00000236136	ADORA2BP1	0.256	-0.296	-0.643	-0.525	-0.118
ENSG00000159322	ADPGK	0.11	-0.008	-0.262	-0.172	-0.09
ENSG00000260898	ADPGK-AS1	0.089	-0.159	-0.342	-0.322	-0.02
ENSG00000144843	ADPRH	0.015	0.241	0.78	0.343	0.437
ENSG00000116863	ADPRHL2	0.177	-0.172	-0.596	-0.735	0.139
ENSG00000170222	ADPRM	-0.015	-0.507	-1.054	-0.715	-0.339
ENSG00000169252	ADRB2	-0.098	-0.039	-0.663	-0.498	-0.165
ENSG00000173020	ADRBK1	0.247	-0.04	-0.455	-0.271	-0.184
ENSG00000100077	ADRBK2	-0.006	-0.128	-0.022	0.655	-0.676
ENSG00000130706	ADRM1	0.297	-0.153	-0.337	-0.281	-0.057
ENSG00000239900	ADSL	-0.011	-0.212	-0.376	-0.14	-0.236
ENSG00000035687	ADSS	-0.156	-0.164	-0.536	-0.746	0.21
ENSG00000139154	AEBP2	-0.026	0.379	0.288	0.438	-0.149
ENSG00000181026	AEN	0.039	-0.09	0.02	-0.01	0.03
ENSG00000104964	AES	0.257	-0.17	-0.546	-0.478	-0.068
ENSG00000196526	AFAP1	-0.063	0.39	0.604	0.819	-0.215
ENSG00000157510	AFAP1L1	-0.048	-0.085	-0.027	-0.196	0.169
ENSG00000172493	AFF1	-0.114	0.433	0.673	1.08	-0.407
ENSG00000072364	AFF4	-0.144	0.554	0.79	0.721	0.069
ENSG00000141385	AFG3L2	0.031	-0.183	-0.047	-0.213	0.166
ENSG00000183077	AFMID	-0.173	-0.47	0.04	0.259	-0.219
ENSG00000119844	AFTPH	-0.076	-0.115	-0.176	-0.494	0.317
ENSG00000038002	AGA	0.117	-0.216	-0.446	-0.205	-0.24
ENSG00000157985	AGAP1	0.153	0.154	-0.058	0.435	-0.493
ENSG00000133612	AGAP3	0.259	0.069	-0.126	0.138	-0.263
ENSG00000084693	AGBL5	-0.068	-0.135	-0.228	0.043	-0.271
ENSG00000173744	AGFG1	-0.142	0.109	0.08	0.159	-0.079
ENSG00000106351	AGFG2	0.033	-0.375	-0.691	-0.417	-0.274
ENSG00000164252	AGGF1	-0.1	-0.102	0.255	-0.415	0.67
ENSG00000006530	AGK	0.084	-0.024	-0.098	-0.34	0.242
ENSG00000162688	AGL	-0.123	0.143	0.534	0.351	0.183
ENSG00000092847	AGO1	-0.166	0.21	0.525	0.743	-0.218
ENSG00000123908	AGO2	-0.03	0.298	0.428	0.774	-0.346
ENSG00000126070	AGO3	-0.184	-0.038	0.147	0.13	0.017
ENSG00000134698	AGO4	-0.095	0.029	-0.435	-0.203	-0.232
ENSG00000204310	AGPAT1	-0.142	0.095	-0.254	0.275	-0.528
ENSG00000169692	AGPAT2	0.205	0.497	0.83	0.942	-0.112
ENSG00000160216	AGPAT3	0.044	0.083	0.321	0.646	-0.325
ENSG00000026652	AGPAT4	0.413	0.127	0.623	1.089	-0.466
ENSG00000155189	AGPAT5	-0.208	-0.201	-0.494	-0.461	-0.033
ENSG00000158669	AGPAT6	0.184	0.048	-0.257	-0.151	-0.106
ENSG00000138678	AGPAT9	-0.228	-0.343	-0.327	0	-0.327
ENSG00000018510	AGPS	-0.206	-0.012	0.111	-0.01	0.121
ENSG00000188157	AGRN	0.268	0.359	0.553	1.16	-0.607
ENSG00000135744	AGT	0.065	-0.099	-0.34	0.639	-0.98
ENSG00000135049	AGTPBP1	-0.118	-0.22	0.009	-0.274	0.283
ENSG00000144891	AGTR1	-0.449	-0.005	0.029	-0.994	1.023
ENSG00000177674	AGTRAP	0.15	0.025	-0.493	-0.224	-0.268
ENSG00000153207	AHCTF1	-0.051	0.102	0.326	0.047	0.278
ENSG00000101444	AHCY	0.003	-0.092	-0.224	0.266	-0.49
ENSG00000168710	AHCYL1	0.024	0.728	0.875	1.244	-0.37
ENSG00000158467	AHCYL2	-0.051	0	-0.17	-0.198	0.028
ENSG00000135541	AHI1	-0.005	0.397	0.74	0.352	0.388
ENSG00000124942	AHNAK	-0.137	0.71	1.261	1.102	0.159
ENSG00000185567	AHNAK2	-0.15	0.338	1.218	1.101	0.118
ENSG00000106546	AHR	0.514	0.324	-0.112	-1.032	0.921
ENSG00000100591	AHSA1	0.048	-0.109	-0.325	-0.132	-0.194
ENSG00000173209	AHSA2	0.073	0.028	0.834	0.048	0.786
ENSG00000186063	AIDA	-0.05	0.886	1.202	1.292	-0.091
ENSG00000156709	AIFM1	0.004	0.27	0.605	0.363	0.242
ENSG00000042286	AIFM2	-0.048	0.486	1.148	1.078	0.07
ENSG00000146416	AIG1	-0.158	-0.208	-0.432	-0.179	-0.253
ENSG00000112297	AIM1	0.046	0.147	0.466	0.168	0.298
ENSG00000164022	AIMP1	-0.065	-0.143	0.037	-0.323	0.36
ENSG00000106305	AIMP2	-0.038	-0.361	-0.288	-0.247	-0.041
ENSG00000110711	AIP	0.289	-0.287	-0.619	-0.503	-0.116
ENSG00000129474	AJUBA	0.121	-0.36	-0.569	-0.485	-0.083
ENSG00000106992	AK1	-0.05	-0.241	-0.728	-0.042	-0.686
ENSG00000004455	AK2	0.014	-0.226	-0.094	-0.11	0.015
ENSG00000147853	AK3	-0.106	0.138	0.246	-0.215	0.46
ENSG00000162433	AK4	-0.207	0.032	0.292	0.891	-0.599
ENSG00000085231	AK6	-0.225	-0.297	0.231	-0.685	0.916
ENSG00000121057	AKAP1	-0.154	0.015	0.076	0.397	-0.32
ENSG00000108599	AKAP10	-0.047	0.008	0.063	0.086	-0.022
ENSG00000023516	AKAP11	-0.111	0.464	0.828	0.607	0.22
ENSG00000131016	AKAP12	0.026	0.168	0.633	0.083	0.55
ENSG00000170776	AKAP13	-0.103	0.095	0.306	0.348	-0.042
ENSG00000179841	AKAP5	-0.192	-0.009	0.69	0.606	0.083
ENSG00000118507	AKAP7	-0.01	0.083	0.503	0.133	0.369
ENSG00000105127	AKAP8	-0.141	-0.199	0.202	0.068	0.134
ENSG00000011243	AKAP8L	0.106	-0.069	-0.614	-0.703	0.089
ENSG00000127914	AKAP9	0.665	1.183	2.404	0.266	2.138
ENSG00000166452	AKIP1	-0.031	-0.204	-0.294	-0.128	-0.166
ENSG00000174574	AKIRIN1	-0.078	-0.051	-0.04	-0.182	0.142
ENSG00000135334	AKIRIN2	-0.296	0.731	1.017	1.471	-0.453
ENSG00000106948	AKNA	0.053	0.284	0.462	0.883	-0.421
ENSG00000117448	AKR1A1	0.056	-0.187	-0.322	-0.121	-0.201
ENSG00000085662	AKR1B1	0.201	0.225	0.129	0.27	-0.141
ENSG00000198074	AKR1B10	-0.101	-0.383	-0.527	-1.222	0.696
ENSG00000187134	AKR1C1	0.007	-0.118	-0.201	-0.229	0.028
ENSG00000151632	AKR1C2	-0.035	-0.04	-0.14	0.008	-0.148
ENSG00000196139	AKR1C3	-0.108	-0.153	-0.455	-0.63	0.175
ENSG00000165568	AKR1E2	0.072	-0.023	-0.984	-0.788	-0.195
ENSG00000053371	AKR7A2	0.037	-0.025	-0.375	-0.183	-0.192
ENSG00000142208	AKT1	0.209	-0.057	-0.156	-0.009	-0.147
ENSG00000204673	AKT1S1	0.322	0.02	-0.055	0.304	-0.36
ENSG00000105221	AKT2	0.062	-0.001	-0.14	0.141	-0.281
ENSG00000117020	AKT3	-0.261	-0.079	0.249	0.029	0.22
ENSG00000166971	AKTIP	-0.361	-0.051	-0.315	-0.581	0.266
ENSG00000148218	ALAD	0.182	-0.04	0.314	0.388	-0.074
ENSG00000023330	ALAS1	0.184	0.045	0.094	0.151	-0.057
ENSG00000170017	ALCAM	0.103	0.111	0.177	-0.321	0.499
ENSG00000161618	ALDH16A1	0.483	-0.064	-0.304	-0.268	-0.036
ENSG00000059573	ALDH18A1	-0.033	0.016	0.019	0.191	-0.172
ENSG00000165092	ALDH1A1	-0.051	-0.165	0	-0.919	0.919
ENSG00000184254	ALDH1A3	-0.08	-0.062	-0.199	-0.455	0.255
ENSG00000137124	ALDH1B1	0.158	0.29	0.393	0.639	-0.245
ENSG00000144908	ALDH1L1	0.06	-0.022	-0.217	0.353	-0.57
ENSG00000136010	ALDH1L2	-0.309	0.892	1.068	1.333	-0.265
ENSG00000111275	ALDH2	0.072	-0.084	-0.301	-0.692	0.392
ENSG00000072210	ALDH3A2	-0.077	-0.117	0.047	0.16	-0.113
ENSG00000132746	ALDH3B2	0.298	-0.048	0.522	0.731	-0.209
ENSG00000159423	ALDH4A1	0.172	0.035	0.118	0.045	0.074
ENSG00000112294	ALDH5A1	-0.231	0.316	0.376	0.618	-0.243
ENSG00000119711	ALDH6A1	-0.183	0.026	0.123	0.186	-0.064
ENSG00000164904	ALDH7A1	-0.097	0.203	0.667	0.848	-0.181
ENSG00000143149	ALDH9A1	-0.129	0.062	0.413	0.403	0.01
ENSG00000149925	ALDOA	0.122	0.045	0.188	0.513	-0.325
ENSG00000109107	ALDOC	0.244	-0.229	-0.256	-0.285	0.029
ENSG00000033011	ALG1	0.031	-0.241	-0.111	-0.252	0.141
ENSG00000253710	ALG11	-0.423	0.143	0.268	0.468	-0.199
ENSG00000182858	ALG12	0.031	-0.02	-0.138	0.008	-0.146
ENSG00000101901	ALG13	0.21	0.134	0.355	-0.126	0.481
ENSG00000172339	ALG14	-0.088	-0.28	0.196	0.196	0
ENSG00000119523	ALG2	-0.138	-0.05	-0.397	-0.453	0.056
ENSG00000214160	ALG3	-0.024	0.016	-0.327	0.388	-0.714
ENSG00000120697	ALG5	-0.144	-0.258	-0.515	-0.55	0.035
ENSG00000088035	ALG6	-0.231	-0.054	-0.566	-0.246	-0.32
ENSG00000159063	ALG8	-0.163	-0.186	-0.32	0	-0.32
ENSG00000086848	ALG9	-0.195	0.285	0.089	0.345	-0.257
ENSG00000100601	ALKBH1	-0.295	-0.106	-0.67	-0.27	-0.4
ENSG00000189046	ALKBH2	0.14	-0.303	-1.054	-1.006	-0.048
ENSG00000166199	ALKBH3	0.065	-0.473	0.047	-0.156	0.204
ENSG00000160993	ALKBH4	-0.033	-0.292	0.073	-0.082	0.155
ENSG00000091542	ALKBH5	-0.132	0.19	0.267	0.574	-0.307
ENSG00000125652	ALKBH7	0.344	-0.291	-0.488	-0.592	0.104
ENSG00000137760	ALKBH8	-0.124	-0.18	-0.476	-0.59	0.115
ENSG00000116127	ALMS1	-0.115	0.156	0.155	0.18	-0.025
ENSG00000198796	ALPK2	0.592	0.408	-0.241	-0.441	0.2
ENSG00000003393	ALS2	-0.048	0.163	-0.088	-0.005	-0.083
ENSG00000183684	ALYREF	-0.036	-0.196	-0.662	-0.846	0.183
ENSG00000110497	AMBRA1	0.216	0.197	0.512	0.627	-0.115
ENSG00000123505	AMD1	0.042	-0.01	0.177	-0.044	0.221
ENSG00000162066	AMDHD2	0.436	-0.165	-0.988	-0.735	-0.253
ENSG00000184675	AMER1	-0.145	-0.241	0.047	0.145	-0.098
ENSG00000159461	AMFR	0.024	-0.009	-0.063	0.126	-0.189
ENSG00000139211	AMIGO2	1.354	0.735	0.898	0.31	0.588
ENSG00000101935	AMMECR1	-0.042	0.189	-0.04	0.084	-0.125
ENSG00000144233	AMMECR1L	-0.161	0.152	0.154	0.362	-0.208
ENSG00000151743	AMN1	-0.044	-0.097	-0.877	-0.694	-0.182
ENSG00000126016	AMOT	-0.169	0.243	0.515	0.322	0.193
ENSG00000166025	AMOTL1	-0.114	0.235	0.547	0.783	-0.235
ENSG00000114019	AMOTL2	0.033	-0.004	-0.017	-0.046	0.029
ENSG00000116337	AMPD2	0.03	0.086	0.005	0.35	-0.345
ENSG00000078053	AMPH	0.087	0.21	0.038	0.975	-0.938
ENSG00000196704	AMZ2	-0.11	-0.303	-0.565	-0.319	-0.246
ENSG00000214174	AMZ2P1	-0.133	-0.38	-0.373	-0.593	0.22
ENSG00000153107	ANAPC1	0.034	-0.039	-0.222	-0.234	0.011
ENSG00000164162	ANAPC10	-0.243	-0.355	0.191	-0.498	0.689
ENSG00000141552	ANAPC11	0.184	-0.349	-0.467	-0.242	-0.225
ENSG00000129055	ANAPC13	-0.125	-0.235	-0.007	-0.281	0.274
ENSG00000110200	ANAPC15	0.117	0.055	-0.361	0.009	-0.37
ENSG00000166295	ANAPC16	-0.029	-0.172	-0.432	-0.414	-0.018
ENSG00000176248	ANAPC2	0.347	0.169	-0.068	0.247	-0.314
ENSG00000053900	ANAPC4	-0.1	-0.148	-0.16	-0.295	0.135
ENSG00000089053	ANAPC5	-0.031	-0.127	-0.218	-0.266	0.048
ENSG00000196510	ANAPC7	0.019	-0.184	-0.532	-0.428	-0.104
ENSG00000214274	ANG	-0.205	-0.149	-0.878	-0.591	-0.287
ENSG00000013523	ANGEL1	-0.177	0.125	0.478	0.533	-0.056
ENSG00000174606	ANGEL2	-0.319	-0.085	-0.08	-0.132	0.051
ENSG00000154188	ANGPT1	-0.284	-0.349	-0.07	-0.456	0.385
ENSG00000101280	ANGPT4	0.092	-0.153	0.589	0.602	-0.013
ENSG00000116194	ANGPTL1	-0.137	-0.084	0.332	-0.621	0.953
ENSG00000136859	ANGPTL2	-0.056	0.335	0.665	0.764	-0.099
ENSG00000167772	ANGPTL4	-0.089	-0.01	0.213	-0.062	0.275
ENSG00000145362	ANK2	0.046	0.13	0.399	0.41	-0.011
ENSG00000151687	ANKAR	0.025	-0.286	-0.559	-0.683	0.123
ENSG00000185722	ANKFY1	-0.106	0.508	0.773	1.025	-0.252
ENSG00000154122	ANKH	0.02	0.14	0.142	0.678	-0.536
ENSG00000001629	ANKIB1	-0.055	0.067	0.23	0.192	0.038
ENSG00000176915	ANKLE2	0.263	0.053	-0.123	-0.056	-0.067
ENSG00000106524	ANKMY2	-0.166	-0.131	-0.066	-0.417	0.351
